TRADEDATE,SECID,CLOSE
2018-06-07,VTBR,0.04681
2018-06-08,VTBR,0.04531
2018-06-09,VTBR,0.04552
2018-06-11,VTBR,0.04514
2018-06-13,VTBR,0.04475
2018-06-14,VTBR,0.04465
2018-06-15,VTBR,0.04451
2018-06-18,VTBR,0.04611
2018-06-19,VTBR,0.04519
2018-06-20,VTBR,0.0472
2018-06-21,VTBR,0.04696
2018-06-22,VTBR,0.0466
2018-06-25,VTBR,0.0467
2018-06-26,VTBR,0.0469
2018-06-27,VTBR,0.04735
2018-06-28,VTBR,0.04783
2018-06-29,VTBR,0.04801
2018-07-02,VTBR,0.04833
2018-07-03,VTBR,0.04838
2018-07-04,VTBR,0.04856
2018-07-05,VTBR,0.04866
2018-07-06,VTBR,0.0485
2018-07-09,VTBR,0.04939
2018-07-10,VTBR,0.04903
2018-07-11,VTBR,0.0486
2018-07-12,VTBR,0.04831
2018-07-13,VTBR,0.04975
2018-07-16,VTBR,0.0494
2018-07-17,VTBR,0.04872
2018-07-18,VTBR,0.04853
2018-07-19,VTBR,0.04784
2018-07-20,VTBR,0.04825
2018-07-23,VTBR,0.04824
2018-07-24,VTBR,0.04822
2018-07-25,VTBR,0.04795
2018-07-26,VTBR,0.04758
2018-07-27,VTBR,0.04782
2018-07-30,VTBR,0.04797
2018-07-31,VTBR,0.04828
2018-08-01,VTBR,0.04828
2018-08-02,VTBR,0.04758
2018-08-03,VTBR,0.04735
2018-08-06,VTBR,0.04681
2018-08-07,VTBR,0.0468
2018-08-08,VTBR,0.04569
2018-08-09,VTBR,0.04511
2018-08-10,VTBR,0.04337
2018-08-13,VTBR,0.04295
2018-08-14,VTBR,0.04364
2018-08-15,VTBR,0.0434
2018-08-16,VTBR,0.04388
2018-08-17,VTBR,0.04371
2018-08-20,VTBR,0.04415
2018-08-21,VTBR,0.04415
2018-08-22,VTBR,0.043
2018-08-23,VTBR,0.04139
2018-08-24,VTBR,0.04102
2018-08-27,VTBR,0.04215
2018-08-28,VTBR,0.04153
2018-08-29,VTBR,0.04199
2018-08-30,VTBR,0.04122
2018-08-31,VTBR,0.0414
2018-09-03,VTBR,0.04129
2018-09-04,VTBR,0.04092
2018-09-05,VTBR,0.04002
2018-09-06,VTBR,0.0395
2018-09-07,VTBR,0.03933
2018-09-10,VTBR,0.0386
2018-09-11,VTBR,0.039
2018-09-12,VTBR,0.0396
2018-09-13,VTBR,0.04048
2018-09-14,VTBR,0.04005
2018-09-17,VTBR,0.04004
2018-09-18,VTBR,0.04118
2018-09-19,VTBR,0.04128
2018-09-20,VTBR,0.04111
2018-09-21,VTBR,0.0422
2018-09-24,VTBR,0.04191
2018-09-25,VTBR,0.0416
2018-09-26,VTBR,0.04118
2018-09-27,VTBR,0.0413
2018-09-28,VTBR,0.04076
2018-10-01,VTBR,0.04031
2018-10-02,VTBR,0.04037
2018-10-03,VTBR,0.04071
2018-10-04,VTBR,0.0399
2018-10-05,VTBR,0.03958
2018-10-08,VTBR,0.03921
2018-10-09,VTBR,0.0384
2018-10-10,VTBR,0.03813
2018-10-11,VTBR,0.0377
2018-10-12,VTBR,0.03795
2018-10-15,VTBR,0.03849
2018-10-16,VTBR,0.0384
2018-10-17,VTBR,0.03846
2018-10-18,VTBR,0.03793
2018-10-19,VTBR,0.03689
2018-10-22,VTBR,0.03614
2018-10-23,VTBR,0.0362
2018-10-24,VTBR,0.03685
2018-10-25,VTBR,0.03635
2018-10-26,VTBR,0.03574
2018-10-29,VTBR,0.0364
2018-10-30,VTBR,0.0366
2018-10-31,VTBR,0.03658
2018-11-01,VTBR,0.0362
2018-11-02,VTBR,0.03613
2018-11-06,VTBR,0.03615
2018-11-07,VTBR,0.03819
2018-11-08,VTBR,0.03803
2018-11-09,VTBR,0.03757
2018-11-12,VTBR,0.03818
2018-11-13,VTBR,0.03844
2018-11-14,VTBR,0.03815
2018-11-15,VTBR,0.03928
2018-11-16,VTBR,0.03916
2018-11-19,VTBR,0.0388
2018-11-20,VTBR,0.03743
2018-11-21,VTBR,0.03722
2018-11-22,VTBR,0.0373
2018-11-23,VTBR,0.03706
2018-11-26,VTBR,0.036695
2018-11-27,VTBR,0.03683
2018-11-28,VTBR,0.03758
2018-11-29,VTBR,0.03803
2018-11-30,VTBR,0.0373
2018-12-03,VTBR,0.0376
2018-12-04,VTBR,0.03699
2018-12-05,VTBR,0.036995
2018-12-06,VTBR,0.03671
2018-12-07,VTBR,0.036555
2018-12-10,VTBR,0.0361
2018-12-11,VTBR,0.036005
2018-12-12,VTBR,0.03625
2018-12-13,VTBR,0.03608
2018-12-14,VTBR,0.035995
2018-12-17,VTBR,0.03634
2018-12-18,VTBR,0.0362
2018-12-19,VTBR,0.0363
2018-12-20,VTBR,0.03587
2018-12-21,VTBR,0.035245
2018-12-24,VTBR,0.03472
2018-12-25,VTBR,0.034175
2018-12-26,VTBR,0.034455
2018-12-27,VTBR,0.03405
2018-12-28,VTBR,0.03391
2018-12-29,VTBR,0.03385
2019-01-03,VTBR,0.03421
2019-01-04,VTBR,0.03462
2019-01-08,VTBR,0.03484
2019-01-09,VTBR,0.035
2019-01-10,VTBR,0.035045
2019-01-11,VTBR,0.035185
2019-01-14,VTBR,0.0353
2019-01-15,VTBR,0.035465
2019-01-16,VTBR,0.03565
2019-01-17,VTBR,0.035705
2019-01-18,VTBR,0.0371
2019-01-21,VTBR,0.03689
2019-01-22,VTBR,0.0371
2019-01-23,VTBR,0.037535
2019-01-24,VTBR,0.036925
2019-01-25,VTBR,0.03696
2019-01-28,VTBR,0.03694
2019-01-29,VTBR,0.03742
2019-01-30,VTBR,0.03748
2019-01-31,VTBR,0.03777
2019-02-01,VTBR,0.037915
2019-02-04,VTBR,0.038345
2019-02-05,VTBR,0.03821
2019-02-06,VTBR,0.03761
2019-02-07,VTBR,0.03701
2019-02-08,VTBR,0.03713
2019-02-11,VTBR,0.0376
2019-02-12,VTBR,0.0379
2019-02-13,VTBR,0.036985
2019-02-14,VTBR,0.03604
2019-02-15,VTBR,0.0366
2019-02-18,VTBR,0.03633
2019-02-19,VTBR,0.036245
2019-02-20,VTBR,0.03642
2019-02-21,VTBR,0.036065
2019-02-22,VTBR,0.03608
2019-02-25,VTBR,0.03624
2019-02-26,VTBR,0.0358
2019-02-27,VTBR,0.035955
2019-02-28,VTBR,0.0359
2019-03-01,VTBR,0.03603
2019-03-04,VTBR,0.03597
2019-03-05,VTBR,0.0353
2019-03-06,VTBR,0.035495
2019-03-07,VTBR,0.03522
2019-03-11,VTBR,0.03537
2019-03-12,VTBR,0.03565
2019-03-13,VTBR,0.03634
2019-03-14,VTBR,0.036215
2019-03-15,VTBR,0.03739
2019-03-18,VTBR,0.03692
2019-03-19,VTBR,0.03677
2019-03-20,VTBR,0.03669
2019-03-21,VTBR,0.036515
2019-03-22,VTBR,0.036
2019-03-25,VTBR,0.03633
2019-03-26,VTBR,0.03625
2019-03-27,VTBR,0.03595
2019-03-28,VTBR,0.036
2019-03-29,VTBR,0.035645
2019-04-01,VTBR,0.036195
2019-04-02,VTBR,0.0362
2019-04-03,VTBR,0.03661
2019-04-04,VTBR,0.0365
2019-04-05,VTBR,0.03632
2019-04-08,VTBR,0.0363
2019-04-09,VTBR,0.03628
2019-04-10,VTBR,0.036885
2019-04-11,VTBR,0.036695
2019-04-12,VTBR,0.036255
2019-04-15,VTBR,0.03597
2019-04-16,VTBR,0.03608
2019-04-17,VTBR,0.0359
2019-04-18,VTBR,0.03601
2019-04-19,VTBR,0.03581
2019-04-22,VTBR,0.035785
2019-04-23,VTBR,0.03533
2019-04-24,VTBR,0.03577
2019-04-25,VTBR,0.035375
2019-04-26,VTBR,0.03541
2019-04-29,VTBR,0.03543
2019-04-30,VTBR,0.0355
2019-05-02,VTBR,0.03554
2019-05-03,VTBR,0.03578
2019-05-06,VTBR,0.03576
2019-05-07,VTBR,0.035575
2019-05-08,VTBR,0.03546
2019-05-10,VTBR,0.035195
2019-05-13,VTBR,0.034975
2019-05-14,VTBR,0.03493
2019-05-15,VTBR,0.035095
2019-05-16,VTBR,0.03496
2019-05-17,VTBR,0.0351
2019-05-20,VTBR,0.03499
2019-05-21,VTBR,0.0349
2019-05-22,VTBR,0.035185
2019-05-23,VTBR,0.03875
2019-05-24,VTBR,0.0372
2019-05-27,VTBR,0.03761
2019-05-28,VTBR,0.036535
2019-05-29,VTBR,0.0368
2019-05-30,VTBR,0.0367
2019-05-31,VTBR,0.036705
2019-06-03,VTBR,0.03698
2019-06-04,VTBR,0.03718
2019-06-05,VTBR,0.0387
2019-06-06,VTBR,0.03897
2019-06-07,VTBR,0.039
2019-06-10,VTBR,0.03945
2019-06-11,VTBR,0.04
2019-06-13,VTBR,0.04065
2019-06-14,VTBR,0.04032
2019-06-17,VTBR,0.040485
2019-06-18,VTBR,0.04044
2019-06-19,VTBR,0.04023
2019-06-20,VTBR,0.040415
2019-06-21,VTBR,0.0402
2019-06-24,VTBR,0.040725
2019-06-25,VTBR,0.040575
2019-06-26,VTBR,0.04026
2019-06-27,VTBR,0.04013
2019-06-28,VTBR,0.03988
2019-07-01,VTBR,0.04025
2019-07-02,VTBR,0.0405
2019-07-03,VTBR,0.040585
2019-07-04,VTBR,0.041395
2019-07-05,VTBR,0.041355
2019-07-08,VTBR,0.04255
2019-07-09,VTBR,0.04313
2019-07-10,VTBR,0.04393
2019-07-11,VTBR,0.044
2019-07-12,VTBR,0.044
2019-07-15,VTBR,0.04399
2019-07-16,VTBR,0.04301
2019-07-17,VTBR,0.042445
2019-07-18,VTBR,0.04218
2019-07-19,VTBR,0.0424
2019-07-22,VTBR,0.043405
2019-07-23,VTBR,0.04323
2019-07-24,VTBR,0.04295
2019-07-25,VTBR,0.04315
2019-07-26,VTBR,0.0427
2019-07-29,VTBR,0.04281
2019-07-30,VTBR,0.0428
2019-07-31,VTBR,0.0425
2019-08-01,VTBR,0.042535
2019-08-02,VTBR,0.042015
2019-08-05,VTBR,0.041545
2019-08-06,VTBR,0.0416
2019-08-07,VTBR,0.04085
2019-08-08,VTBR,0.041
2019-08-09,VTBR,0.0406
2019-08-12,VTBR,0.0406
2019-08-13,VTBR,0.04022
2019-08-14,VTBR,0.03901
2019-08-15,VTBR,0.03863
2019-08-16,VTBR,0.0381
2019-08-19,VTBR,0.038365
2019-08-20,VTBR,0.03932
2019-08-21,VTBR,0.03933
2019-08-22,VTBR,0.03857
2019-08-23,VTBR,0.038105
2019-08-26,VTBR,0.03806
2019-08-27,VTBR,0.03838
2019-08-28,VTBR,0.03847
2019-08-29,VTBR,0.03858
2019-08-30,VTBR,0.03868
2019-09-02,VTBR,0.039405
2019-09-03,VTBR,0.0392
2019-09-04,VTBR,0.04291
2019-09-05,VTBR,0.042005
2019-09-06,VTBR,0.04195
2019-09-09,VTBR,0.0415
2019-09-10,VTBR,0.04265
2019-09-11,VTBR,0.0427
2019-09-12,VTBR,0.042875
2019-09-13,VTBR,0.0425
2019-09-16,VTBR,0.04267
2019-09-17,VTBR,0.04234
2019-09-18,VTBR,0.042555
2019-09-19,VTBR,0.042455
2019-09-20,VTBR,0.0424
2019-09-23,VTBR,0.04207
2019-09-24,VTBR,0.042075
2019-09-25,VTBR,0.0423
2019-09-26,VTBR,0.04292
2019-09-27,VTBR,0.042695
2019-09-30,VTBR,0.042595
2019-10-01,VTBR,0.0423
2019-10-02,VTBR,0.04131
2019-10-03,VTBR,0.0409
2019-10-04,VTBR,0.04075
2019-10-07,VTBR,0.041465
2019-10-08,VTBR,0.040655
2019-10-09,VTBR,0.0408
2019-10-10,VTBR,0.04135
2019-10-11,VTBR,0.041925
2019-10-14,VTBR,0.04175
2019-10-15,VTBR,0.0417
2019-10-16,VTBR,0.04198
2019-10-17,VTBR,0.042005
